title,price,area,address,phone,image,link
"Ký túc xá An Dương Vương Quận 5 – Bao điện nước, để xe – Gần ĐH Sài Gòn 100m",1.3 triệu/tháng,20 m2,"Quận 5, Hồ Chí Minh",931313570,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/03/08/1jd8g7ce0-ddfg98_1772938439.jpg,https://phongtro123.com/ky-tuc-xa-quan-5-bao-dien-nuoc-de-xe-gan-dh-sai-gon-100m-pr702592.html
Homestay Hoang Phuc chi nhánh Nguyễn Thị Thập Q7 trọn gói 1tr1 gần Lotte Mart,1.1 triệu/tháng,20 m2,"Quận 7, Hồ Chí Minh",931313570,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/03/08/img-3468_1772939292.jpg,https://phongtro123.com/kytucxa-com-vn-chi-nhanh-q7-tron-goi-1tr1-gan-lotte-mart-pr702593.html
Sleepbox Cao Cấp Mới 100% - Cửa Khoá Riêng Tư - Đầy Đủ Tiện Nghi - Có Ban Công - Kha Vạn Cân,1.2 triệu/tháng,50 m2,"Thủ Đức, Hồ Chí Minh",936166578,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/02/27/img-8442_1772159850.jpg,https://phongtro123.com/sleepbox-new-100-thang-may-gan-dh-ngan-hang-spkt-cd-cong-thuong-pr702039.html
"Cho thuê phòng trọ gác cao, có ban công giá 2tr4 tại Lý Phục Man, Bình Thuận, Quận 7",2.4 triệu/tháng,18 m2,"Quận 7, Hồ Chí Minh",982007967,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2022/02/19/21_1645252709.jpg,https://phongtro123.com/cho-thue-phong-tro-moi-dep-sach-se-tai-104-ly-phuc-man-binh-thuan-quan-7-gia-chi-tu-gia-tu-2tr-th-den-2tr2-thang-pr591968.html
CHÍNH CHỦ CHO THUÊ PHÒNG ĐẸP BAN CÔNG RỘNG – NGAY TRUNG TÂM QUẬN 10,5 triệu/tháng,18 m2,"Quận 10, Hồ Chí Minh",974246580,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/22/z7750474233425-9270edd53ea8527f16fe92cdf04e71fb_1776822939.jpg,https://phongtro123.com/chinh-chu-cho-thue-phong-dep-ban-cong-rong-ngay-trung-tam-quan-10-pr705541.html
Cho thuê nhà trọ - Siêu rộng - Cửa sổ dạng ban công lớn - giá rẻ,7 triệu/tháng,35 m2,"Quận 10, Hồ Chí Minh",937908698,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/14/z4686213633337-d30168d458ddef2bddd85bfd1d8d5e41_1776151642.jpg,https://phongtro123.com/cho-thue-phong-tro-gia-re-p12-tan-binh-cua-so-lon-pr704966.html
PHÒNG TRỌ PHÚ NHUẬN – ĐỐI DIỆN KHÁCH SẠN 3* TÂN SƠN NHẤT,4.5 triệu/tháng,20 m2,"Phú Nhuận, Hồ Chí Minh",918180057,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/20/z7743703449603-37c94152777fd82b36fd77d9648b23f4_1776659063.jpg,https://phongtro123.com/phong-tro-phu-nhuan-doi-dien-khach-san-3-tan-son-nhat-pr705436.html
"Cực phẩm KTX, Phòng trọ, Sang, Xịn, Mịn Giá siêu rẻ tại Thủ Đức",1.2 triệu/tháng,30 m2,"Thủ Đức, Hồ Chí Minh",936456678,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2022/07/03/f6480ee4-11fc-453b-882b-25f03a2bd77e_1656803279.jpg,https://phongtro123.com/cuc-pham-ktx-phong-tro-sang-xin-min-gia-sieu-re-thu-duc-pr603516.html
Cho thuê phòng trọ cao cấp tại 64 Trương Văn Bang - Bình Trưng Tây,3.3 triệu/tháng,18 m2,,943773920,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2024/12/19/2acbbbb05bbde6e3bfac5_1734601059.jpg,https://phongtro123.com/tinh-thanh/ho-chi-minh/cho-thue-phong-tro-cao-cap-tai-64-truong-van-bang-binh-trung-tay.html
Cần cho thuê phòng riêng Era Town Đức Khải Tolet sài chung Tiện ích đầy đủ .,1.7 triệu/tháng,8 m2,"Quận 7, Hồ Chí Minh",815777735,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2025/11/27/img-8115_1764205705.jpg,https://phongtro123.com/phong-share-tro-chung-cu-quan-7-pr596546.html
"Cho thuê phòng trọ mới sơn sửa 05/2025 - Lương Thế Vinh, P. Tân Thới Hòa, Quận Tân Phú (Gần Đầm Sen)",1.9 triệu/tháng,20 m2,"Tân Phú, Hồ Chí Minh",938864405,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2025/05/08/11_1746698807.png,https://phongtro123.com/phong-tro-moi-xay-48-13-luong-the-vinh-phuong-tan-thoi-hoa-tan-phu-gan-dam-sen-pr603145.html
"PHÒNG MỚI TUYỆT ĐẸP, 40M2, ẤM CÚNG NHƯ NHÀ CỦA NGOẠI",1.8 triệu/tháng,40 m2,"Quận 11, Hồ Chí Minh",903737151,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/02/26/z7565146082478-658a0d2b79393e37eb49e504144fd455_1772073730.jpg,https://phongtro123.com/phong-moi-tuyet-dep-40m2-am-cung-nhu-nha-cua-ngoai-pr701983.html
"Cho thuê phòng trọ cao cấp, SANG SẠCH SÁNG MÁT THƠM, AN TOÀN",3.7 triệu/tháng,14 m2,"Quận 10, Hồ Chí Minh",983422460,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2024/05/16/p6-2_1715838269.jpg,https://phongtro123.com/cho-thue-phong-tro-cao-cap-sang-sach-sang-mat-thom-an-toan-hien-dai-tren-duong-le-hong-phong-quan-10-pr647757.html
"PHÒNG BAN CÔNG QUẬN 3 GIÁ CHỈ 3 TRIỆU – Ở NGAY TRUNG TÂM, GIỜ GIẤC TỰ DO!",3.7 triệu/tháng,25 m2,"Quận 3, Hồ Chí Minh",965889995,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/22/1000038475_1776844824.jpg,https://phongtro123.com/phong-ban-cong-quan-3-gia-chi-3-trieu-o-ngay-trung-tam-gio-giac-tu-do-pr705579.html
"CHÍNH CHỦ CẦN CHO THUÊ PHÒNG TRỌ RỘNG RÃI, 15M2, THOÁNG MÁT, SẠCH SẼ",3.5 triệu/tháng,15 m2,"Quận 3, Hồ Chí Minh",834567059,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2025/09/30/e2479c5c5bbbd1e588aa7_1759200239.jpg,https://phongtro123.com/cho-thue-phong-tro-quan-3-tphcm-pr312468.html
"PHÒNG CAO CẤP SANG TRỌNG, BÃI XE RỘNG, BẢO VỆ 24/24",4 triệu/tháng,30 m2,,979999622,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2019/05/22/36-99-le-thi-hong-phuong-17-quan-go-vap-thanh-pho-ho-chi-minh-000015933002_1558539979.jpg,https://phongtro123.com/tinh-thanh/ho-chi-minh/phong-tro-trong-toa-nha-sang-trong-co-bao-ve-giu-xe-2424.html
Phòng máy lạnh & quạt giá 4triệu (17m2)+sàn gác (8m2) có cửa sổ & WC riêng,4 triệu/tháng,17 m2,"Quận 10, Hồ Chí Minh",389188206,https://pt123.cdn.static123.com/images/thumbs/450x300/fit/2026/04/19/z5541069261100-5cd1a2bdeb47495a68eb43b190f95c52_1776594000.jpg,https://phongtro123.com/phong-may-lanh-quat-gia-4trieu-17m2-san-gac-8m2-co-cua-so-wc-rieng-pr705399.html
